Lat,Lon,Description,Link,Scale,Size
-1.3294,-14.976,"On 6/6/2021 1:30:44 AM, an earthquake occurred in North Of Ascension Island potentially affecting No people within 100km. The earthquake had Magnitude 5.3M, Depth:10km.","https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1271866
 ",1,1
-28.9136,-176.8025,"On 6/6/2021 1:07:47 AM, an earthquake occurred in Kermadec Islands Region potentially affecting No people within 100km. The earthquake had Magnitude 4.8M, Depth:10km.","https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1271869
 ",1,1
0.2563,126.5285,"On 6/5/2021 11:13:36 PM, an earthquake occurred in Indonesia potentially affecting About 7000 people within 100km. The earthquake had Magnitude 4.7M, Depth:10km.","https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1271839
 ",1,1
0.2424,126.4221,"On 6/5/2021 10:57:39 PM, an earthquake occurred in Indonesia potentially affecting About 1000 people within 100km. The earthquake had Magnitude 5.3M, Depth:22.88km.","https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1271836
 ",1,1
0.1871,126.4704,"On 6/5/2021 9:11:40 PM, an earthquake occurred in Indonesia potentially affecting About 2000 people within 100km. The earthquake had Magnitude 4.8M, Depth:10km.","https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1271830
 ",1,1
-18.6279,-177.604,"On 6/5/2021 8:46:10 PM, an earthquake occurred in Fiji Islands Region potentially affecting About 300 people within 100km. The earthquake had Magnitude 4.5M, Depth:617.24km.","https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1271829
 ",1,1
8.5464,126.6541,"On 6/5/2021 8:28:45 PM, an earthquake occurred in Philippines potentially affecting 940000 people within 100km. The earthquake had Magnitude 4.8M, Depth:56.46km.","https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1271825
 ",1,1
-7.5088,107.2712,"On 6/5/2021 6:18:27 PM, an earthquake occurred in Indonesia potentially affecting 17990000 people within 100km. The earthquake had Magnitude 4.6M, Depth:67.43km.","https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1271809
 ",1,1
33.1433334,-115.6320038,"On 6/5/2021 5:55:58 PM, an earthquake occurred in United States potentially affecting 1390000 people within 100km. The earthquake had Magnitude 5.25M, Depth:5.81km.","https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1271800
 ",1,1
-41.666,-84.0048,"On 6/5/2021 1:47:19 PM, an earthquake occurred in West Chile Rise potentially affecting No people within 100km. The earthquake had Magnitude 4.8M, Depth:10km.","https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1271789
 ",1,1
-62.3774,-58.3655,"On 6/5/2021 12:14:35 PM, an earthquake occurred in South Shetland Islands potentially affecting No people within 100km. The earthquake had Magnitude 5M, Depth:10km.","https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1271757
 ",1,1
27.9,128.5,"From 29/05/2021 to 05/06/2021, a Tropical Depression (maximum wind speed of 93 km/h) CHOI-WAN-21 was active in NWPacific. The cyclone affects these countries: Japan, China, Philippines,  (vulnerability Medium). Estimated population affected by category 1 (120 km/h) wind speeds or higher is 0.","https://www.gdacs.org/report.aspx?eventtype=TC&eventid=1000785
 ",1,1
25.9254,128.5339,"On 6/5/2021 10:49:58 AM, an earthquake occurred in Japan potentially affecting 1230000 people within 100km. The earthquake had Magnitude 4.8M, Depth:10km.","https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1271752
 ",1,1
